Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms)
cifar10_resnet110_v2_sync_optMomentum,2,55.5003,230.272,239.1589,21.10122222,248.0161,66343
cifar10_resnet110_v2_sync_optRmsprop,1,51.1085,259.9994,273.5298,4.752333333,275.7936,40041
cifar10_resnet110_v2_sync_optRmsprop,2,47.2052,230.6558,238.079,41.28555556,249.9619,39966
cifar10_resnet110_v2_sync_use_fp16,1,65.1016,203.9907,279.7391,4.463666667,281.3694,65158
cifar10_resnet110_v2_sync_use_fp16,2,46.6659,172.0109,221.7546,50.97355556,226.9873,65048
cifar10_resnet110_v2_sync_winograd,1,42.6286,200.1077,254.8586,3.703666667,255.6053,31764
cifar10_resnet110_v2_sync_winograd,2,45.7657,189.4182,246.8807,11.92144444,249.66,31336
cifar10_resnet110_v2_sync_xla,1,57.7978,219.4696,291.7194,3.402444444,293.2154,62766
cifar10_resnet110_v2_sync_xla,2,63.5909,203.5147,259.0922,39.44611111,266.7666,62702
cifar10_resnet20_async_batch128,1,9.499,38.5378,52.4762,4.863,55.741,45421
cifar10_resnet20_async_batch128,2,9.5641,49.6915,62.8559,8.911666667,67.4648,45409
cifar10_resnet20_async_batch256,1,9.2503,40.3446,56.2142,3.149888889,57.6748,44932
cifar10_resnet20_async_batch256,2,11.2648,43.6995,55.3816,12.479,64.9999,44789
cifar10_resnet20_async_batch32,1,8.1897,42.3657,58.4275,4.606777778,60.5787,44600
cifar10_resnet20_async_batch32,2,10.5665,40.4233,49.806,9.634,55.8043,44537
cifar10_resnet20_async_batch512,1,10.2064,58.1699,75.1963,2.808666667,76.0957,45439
cifar10_resnet20_async_batch512,2,11.8164,65.6158,66.8615,24.51044444,88.1817,45438
cifar10_resnet20_async_batch64,1,13.0483,39.4991,57.181,3.728666667,58.3574,44256
cifar10_resnet20_async_batch64,2,11.5375,38.0149,49.9141,9.267777778,55.003,44202
cifar10_resnet20_async_dataFormat,1,9.5229,38.6959,53.3297,3.366555556,55.3263,44690
cifar10_resnet20_async_dataFormat,2,12.3718,47.6985,61.9706,8.813666667,67.1866,44736
cifar10_resnet20_async_optMomentum,1,10.595,56.3796,60.0717,3.304333333,61.4199,44949
cifar10_resnet20_async_optMomentum,2,9.1293,49.5641,47.7945,8.921333333,53.4966,44891
cifar10_resnet20_async_optRmsprop,1,12.5236,57.0741,59.8296,4.728666667,62.4385,15795
cifar10_resnet20_async_optRmsprop,2,13.3692,53.5157,50.4016,9.210555556,56.5392,15727
cifar10_resnet20_async_use_fp16,1,14.3723,57.8934,75.9189,3.794555556,77.1697,14583
cifar10_resnet20_async_use_fp16,2,10.4235,50.4137,61.5737,8.868777778,66.584,14530
cifar10_resnet20_async_winograd,1,8.2126,43.6557,56.233,3.277,57.196,44537
cifar10_resnet20_async_winograd,2,11.0897,43.4302,52.3217,5.836777778,54.9612,44578
cifar10_resnet20_async_xla,1,8.9118,42.7874,56.0503,3.898555556,57.6827,44436
cifar10_resnet20_async_xla,2,10.7158,51.5406,66.5912,8.336222222,71.0902,44386
cifar10_resnet20_sync_batch128,1,15.5736,42.4648,65.4103,3.164222222,67.1576,14579
cifar10_resnet20_sync_batch128,2,10.8365,37.1199,49.3207,19.47366667,52.9887,14756
cifar10_resnet20_sync_batch256,1,13.6205,48.0821,66.7765,3.054111111,67.8667,44597
