Dataset,Model,syncronization,hyperparameter,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB),,,,
cifar10,densenet40k12,async,xla,2,28.2141,108.4226,129.9925,10.81422222,139.037,51022,0,,,,
cifar10,densenet40k12,sync,batch128,1,19.1989,105.3222,121.7564,48.204,166.5627,51920,2757,,,,
cifar10,densenet40k12,sync,batch128,2,24.3181,126.1479,141.1894,25.06933333,160.8854,51915,2756.9375,,,,
cifar10,densenet40k12,sync,batch256,1,24.2297,148.1886,137.9916,59.31133333,195.1222,53663,4879,,,,
cifar10,densenet40k12,sync,batch256,2,26.4675,158.8876,121.416,75.89855556,191.9636,53657,4878.9375,,,,
cifar10,densenet40k12,sync,batch32,1,22.0951,112.0668,148.9519,14.62766667,163.8036,51436,0,,,,
cifar10,densenet40k12,sync,batch32,2,27.3274,102.5304,131.2987,36.98055556,136.8626,51433,0,,,,
cifar10,densenet40k12,sync,batch512,1,23.3097,275.6998,292.7063,37.70311111,326.954,57777,9111,,,,
cifar10,densenet40k12,sync,batch512,2,24.3443,280.8378,160.9893,167.2048889,323.7268,57725,386.9375,,,,
cifar10,densenet40k12,sync,batch64,1,23.5665,97.2015,128.6014,18.56722222,145.0182,21193,1701,,,,
cifar10,densenet40k12,sync,batch64,2,26.5438,96.4685,123.7203,23.25166667,132.8601,21136,1700.9375,,,,
cifar10,densenet40k12,sync,dataFormat,1,27.7808,74.5987,104.6042,25.77288889,129.5206,50781,1701,,,,
cifar10,densenet40k12,sync,dataFormat,2,28.007,86.285,115.7531,17.15322222,121.4791,50824,1700.9375,,,,
cifar10,densenet40k12,sync,optMomentum,1,22.528,109.4343,115.0374,19.74033333,133.63,53782,387,,,,
cifar10,densenet40k12,sync,optMomentum,2,23.9731,121.4325,120.3616,15.95977778,130.2569,53729,386.9375,,,,
cifar10,densenet40k12,sync,optRmsprop,1,23.1388,137.9327,142.0442,14.038,153.8187,56462,1701,,,,
cifar10,densenet40k12,sync,optRmsprop,2,20.3476,123.2733,125.2112,24.67677778,132.8188,56461,1700.9375,,,,
cifar10,densenet40k12,sync,usefp16,1,31.0486,97.2788,129.8668,24.84377778,152.9776,52317,1621,,,,
cifar10,densenet40k12,sync,usefp16,2,28.3512,105.5036,138.8311,17.37822222,143.3179,52357,1620.9375,,,,
cifar10,densenet40k12,sync,winograd,1,26.9545,91.2994,118.877,15.488,131.9912,20909,12,,,,
cifar10,densenet40k12,sync,winograd,2,21.5824,85.6381,113.242,21.224,124.3422,20943,11.9375,,,,
cifar10,densenet40k12,sync,xla,1,22.6264,107.6269,136.6405,16.84322222,151.2746,51352,0,,,,
cifar10,densenet40k12,sync,xla,2,24.1934,102.0443,129.4995,22.781,138.1431,51297,0,,,,
cifar10,resnet110,async,batch128,1,56.7555,212.0139,287.9674,6.923555556,292.7206,34286,0,,,,
cifar10,resnet110,async,batch128,2,42.3673,212.3405,257.9873,13.768,265.8866,34228,0,,,,
cifar10,resnet110,async,batch256,1,47.7052,201.5074,242.0803,26.44177778,265.7421,33869,387,,,,
cifar10,resnet110,async,batch256,2,51.33,228.9013,261.5458,47.45688889,302.0767,33755,386.9375,,,,
cifar10,resnet110,async,batch32,1,51.5539,174.7468,238.9565,10.09777778,245.6506,63207,0,,,,
cifar10,resnet110,async,batch32,2,38.8118,209.675,240.6989,32.51122222,265.7324,63146,0,,,,
cifar10,resnet110,async,batch512,1,54.7394,290.7183,280.5229,85.07155556,360.5582,66358,0,,,,
cifar10,resnet110,async,batch512,2,52.2384,327.0391,266.9923,144.9867778,403.7083,66352,0,,,,
cifar10,resnet110,async,batch64,1,47.587,195.1782,261.8463,7.304777778,267.0759,63045,0,,,,
cifar10,resnet110,async,batch64,2,62.2076,223.6693,291.5307,16.17222222,302.4201,63037,0,,,,
cifar10,resnet110,async,dataFormat,1,47.472,169.2446,228.5515,6.961555556,232.5542,33328,397,,,,
cifar10,resnet110,async,dataFormat,2,44.6346,195.9307,262.7619,15.30366667,272.3725,33092,386.9375,,,,
cifar10,resnet110,async,optMomentum,1,45.4143,242.0491,255.2642,9.306777778,260.8917,69016,387,,,,
cifar10,resnet110,async,optMomentum,2,55.0451,271.7078,291.7832,15.91722222,301.0427,69014,386.9375,,,,
cifar10,resnet110,async,optRmsprop,1,46.6092,248.8646,260.8593,9.704666667,266.309,73741,0,,,,
cifar10,resnet110,async,optRmsprop,2,40.8791,250.2717,258.7367,14.10266667,268.306,73642,0,,,,
cifar10,resnet110,async,usefp16,1,55.9651,207.9723,275.0156,5.792555556,277.478,34373,387,,,,
